10.1.1.2. A 15–74 éves népesség napi átlagos idõráfordítása nemek szerint [perc/fõ];;;;;;;;;
Tevékenységek;Férfi 1986/1987;Férfi 1999/2000;Férfi 2009/2010;Nõ 1986/1987;Nõ 1999/2000;Nõ 2009/2010;Össz. 1986/1987;Össz. 1999/2000;Össz. 2009/2010
Társadalmilag kötött tevékenységek;519;455;434;555;499;485;540;478;461
Keresõ-, termelõtevékenység;341;262;219;222;171;148;280;215;182
Ebbõl:;;;;;;;;;
fõfoglalkozás;228;189;183;143;127;123;184;157;152
mezõgazdasági tevékenység (saját háztartás részére);67;51;23;48;30;15;57;40;19
Tanulás, önképzés;22;34;30;19;33;28;21;33;29
Ebbõl:;;;;;;;;;
iskolarendszerû;20;30;26;18;30;25;19;30;25
önképzés;2;4;3;1;3;3;2;3;3
Háztartási és ház körüli munka;62;65;78;208;186;183;137;128;133
Ebbõl:;;;;;;;;;
fõzés, terítés, tálalás;9;11;18;76;76;79;44;45;50
mosogatás;3;4;6;28;29;33;16;17;20
lakástakarítás, rendrakás;7;8;8;39;36;33;24;23;21
mosás, vasalás;1;1;1;36;27;21;19;14;12
varrás, ruhanemû javítása;0;0;0;14;3;3;8;2;1
házkörüli munkák;19;21;30;9;8;10;14;14;20
épület, helyiség karbantartása, felújítása, építése;11;7;7;3;2;1;7;4;4
egyéb karbantartó, javító munkák (jármû, háztartási berendezés stb.);10;9;6;0;0;0;5;4;3
Vásárlás, szolgáltatások igénybevétele, ügyintézés;14;17;17;24;26;24;20;22;21
Ebbõl:;;;;;;;;;
vásárlás;9;11;13;18;20;20;14;15;17
Gyermekek gondozása, ellátása (saját);10;12;18;28;28;41;20;20;30
Testi gondozás;3;3;5;19;13;20;11;8;13
Mese, játék;5;7;10;6;10;15;6;9;13
Közös tanulás;2;2;2;3;5;4;3;4;3
Közlekedés;70;65;72;54;55;61;62;60;66
Fiziológiailag kötött tevékenységek;669;682;717;673;683;710;671;683;713
Ebbõl:;;;;;;;;;
alvás;507;509;504;519;520;510;513;515;507
étkezés;84;88;105;80;83;97;82;86;101
öltözködés, testi higiénia;50;57;76;47;55;72;48;56;74
Szabadon végzett tevékenységek;250;304;289;211;257;245;230;280;266
Szabadidõ társas eltöltése;58;59;50;48;43;46;53;51;48
Vallásgyakorlás;1;1;1;2;2;2;1;2;2
Mozilátogatás;4;2;1;2;1;1;3;2;1
Egyéb kulturális intézmények látogatása;1;2;1;1;2;1;1;2;1
Olvasás;38;27;18;29;21;21;33;24;20
Ebbõl:;;;;;;;;;
könyv olvasása;12;8;5;12;10;10;12;9;7
Rádió hallgatása;9;7;1;4;3;1;7;5;1
Tévénézés, videózás, internetezés;111;167;166;100;155;138;105;161;152
Séta, kirándulás, sport, testedzés;19;24;19;10;15;11;14;19;15
Ebbõl:;;;;;;;;;
sport, testedzés;5;6;9;1;2;3;3;4;6
Hobbi jellegû tevékenység, növények, házi kedvencek gondozása;5;12;9;12;10;11;9;11;10
Ebbõl:;;;;;;;;;
szobanövények, házi kedvencek gondozása;1;3;6;1;4;7;1;4;6
Összesen;1440;1440;1440;1440;1440;1440;1440;1440;1440
Megfigyelések száma, n;17955;18651;3420;20283;20859;4169;38238;39510;7589
Teljes sokaság, ezer fõ;3778;3725;3684;4039;4033;4020;7817;7758;7704
